"CLINIC_ID","STRIPE_SUBSCRIPTION_ID","SUBSCRIPTION_START_DATE","SUBSCRIPTION_END_DATE","SUBSCRIPTION_CURRENT_PERIOD_STARTED_AT","SUBSCRIPTION_CURRENT_PERIOD_ENDS_AT","MOST_RECENT_INVOICE_CREATED_AT","LAST_PAYMENT_AT","CHECKOUT_STATUS","SUBSCRIPTION_STATUS","BILLING_INTERVAL_IN_MONTHS","FIRST_PAYMENT_METHOD_TYPE","FIRST_CARD_BRAND","FIRST_PAYMENT_AMOUNT","FIRST_PAYMENT_AMOUNT_OFF","FIRST_PAYMENT_PROMOTION_CODE","FIRST_PAYMENT_COUPON_ID","FIRST_PAYMENT_AMOUNT_OFF_2"
9702,"sub_1NgAT2CpjOdJI4gT6sS7s7Zl","2023-08-17",,"2023-10-17 14:58:44.000","2023-11-17 14:58:44.000","2023-10-17 14:59:44.000","2023-10-17 16:07:28.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9718,"sub_1NgW8XCpjOdJI4gTyODfjoAF","2023-08-18","2023-11-18","2023-10-18 14:07:01.000","2023-11-18 14:07:01.000","2023-10-18 14:12:54.000","2023-10-18 15:30:42.000","open","active","1","Cartão de Crédito","mastercard",89.9,,,,
9480,"sub_1NgS2PCpjOdJI4gTitUxaERG","2023-08-18","2023-10-18","2023-09-18 09:44:25.000","2023-10-18 09:44:25.000","2023-09-18 09:47:04.000","2023-09-18 10:52:52.000","complete","canceled","1","Cartão de Crédito","mastercard",89.9,,,,
9508,"sub_1NgUPICpjOdJI4gTRX89thVn","2023-08-18",,"2023-08-18 12:16:12.000","2024-08-18 12:16:12.000","2023-08-18 12:16:12.000","2023-08-18 16:42:28.000","complete","active","12","Boleto",,419.4,,"PREP50","dV87G5C6",
9477,"sub_1NgS6dCpjOdJI4gTCByjuXCO","2023-08-18",,"2023-10-18 09:48:47.000","2023-11-18 09:48:47.000","2023-10-18 09:53:31.000","2023-09-19 15:44:07.000","complete","past_due","1","Cartão de Crédito","mastercard",62.93,,,,
9572,"sub_1NgvJpCpjOdJI4gTvoBOooWr","2023-08-19","2023-09-25","2023-09-19 17:00:21.000","2023-10-19 17:00:21.000","2023-09-19 17:02:44.000","2023-08-19 17:00:23.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
9652,"sub_1Nh2kmCpjOdJI4gT53eEQYmK","2023-08-20",,"2023-08-20 00:56:40.000","2024-08-20 00:56:40.000","2023-08-20 00:56:40.000","2023-08-20 00:56:42.000","complete","active","12","Cartão de Crédito","mastercard",838.8,,,,
9476,"sub_1NhYJICpjOdJI4gTJEAOGkfs","2023-08-21",,"2023-09-21 10:38:24.000","2023-10-21 10:38:24.000","2023-09-21 10:46:40.000","2023-09-21 12:02:31.000","complete","active","1","Cartão de Crédito","mastercard",62.93,,,,
9115,"sub_1NhXSaCpjOdJI4gT1BINYV2z","2023-08-21",,"2023-08-21 09:43:55.000","2024-02-21 09:43:55.000","2023-08-21 09:43:56.000","2023-08-21 09:43:58.000","complete","active","6","Cartão de Crédito","visa",479.4,,,,
9664,"sub_1Nhe8KCpjOdJI4gTZ6YZyA9L","2023-08-21","2023-09-21","2023-08-21 16:51:28.000","2023-09-21 16:51:28.000","2023-08-21 16:51:28.000","2023-08-21 16:51:30.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
