"CLINIC_ID","CLINIC_CREATED_AT","BUSINESS_SEGMENTATION","IS_CHAIN_CLINIC","FIRST_USER_HUBSPOT_SOURCE","INTEREST_REASONS","INTEREST_CATEGORY_SIGNUP","HAS_INTEREST_BNPL","HAS_INTEREST_BNPL_ONLY","HAS_INTEREST_SAAS","TRIAL_DURATION","TRIAL_START_DATE","TRIAL_END_DATE","TRIAL_START_HOUR","TRIAL_START_HOUR_CATEGORY","TRIAL_START_DAY_OF_WEEK","TRIAL_START_DAY_OF_WEEK_CATEGORY","HAS_USER_CREATED","MARKETING_ATTRIBUITION","MARKETING_ATTRIBUITION_CHANNEL_GROUP","MARKETING_ATTRIBUITION_CAMPAIGN","MARKETING_ATTRIBUITION_CAMPAIGN_PRODUCT","MARKETING_ATTRIBUITION_AD_GROUP","IS_PAID_MEDIUM","HAS_ASKED_FOR_ACCREDITATION","HAS_STARTED_ACCREDITATION_AND_NOT_FINISHED","IS_ACCREDITATION_APPROVED","IS_ACCREDITATION_REPROVED","CLINIC_ACCREDITATION_STATUS","REQUEST_FINISHED_AT","ACCREDITATION_REQUESTED_AT","ACCREDITATION_APPROVED_AT","ACCREDITATION_REJECTED_AT"
"9362","2023-08-08 17:59:25.639","Independente",false,"no_user",,"Desconhecido",false,false,false,"365","2023-08-08","2024-08-07","17","Business Hours","2","Weekday",false,"Other","Other",,"None",,false,false,false,false,false,,,,,
"9363","2023-08-08 18:35:04.103","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"11","2023-08-08","2023-08-19","18","Business Hours","2","Weekday",true,"Other","Other",,"None",,false,true,false,true,false,"Concluído","2023-08-08 18:53:30.925","2023-08-08 18:53:30.925","2023-08-09 17:59:06.710",
"9364","2023-08-08 18:37:00.771","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-08","2023-08-15","18","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","lal-all-1",true,false,true,false,false,"Incompleta",,,,
"9365","2023-08-08 18:44:59.116","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-08","2023-08-15","18","Business Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_agenda","SaaS","interesses-validados",true,false,false,false,false,,,,,
"9366","2023-08-08 18:58:01.612","Rede Homologada",true,"Redes",,"Desconhecido",false,false,false,"7","2023-08-08","2023-08-15","18","Business Hours","2","Weekday",true,"Other","Other",,"None",,false,true,false,true,false,"Concluído","2023-08-08 16:30:07.991","2023-08-08 16:30:07.991","2023-08-08 18:58:05.394",
"9367","2023-08-08 19:17:14.849","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-08","2023-08-15","19","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","BNPL",,true,false,false,false,false,,,,,
"9368","2023-08-08 19:36:51.459","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"15","2023-08-08","2023-08-23","19","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","base-fria-55k-1",true,true,false,true,false,"Concluído","2023-08-21 16:52:12.902","2023-08-21 16:52:12.907","2023-08-22 13:18:22.959",
"9369","2023-08-08 19:36:52.275","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-08","2023-08-09","19","After Hours","2","Weekday",true,"Other","Other",,"None",,false,true,false,true,false,"Concluído","2023-08-09 18:57:38.124","2023-08-09 18:57:38.124","2023-08-09 19:42:01.211",
"9370","2023-08-08 20:24:50.728","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-08","2023-08-15","20","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","base-fria-55k-1",true,false,false,false,false,,,,,
"9371","2023-08-08 20:35:41.418","Independente",false,"Inbound","[""bnpl"", ""patients_management""]","BNPL e SaaS",true,false,true,"7","2023-08-08","2023-08-15","20","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","base-fria-55k-1",true,false,false,false,false,,,,,
"9372","2023-08-08 21:01:38.990","Independente",false,"Inbound","[""patients_management"", ""bnpl""]","BNPL e SaaS",true,false,true,"7","2023-08-08","2023-08-15","21","After Hours","2","Weekday",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"9373","2023-08-08 22:32:14.917","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"26","2023-08-08","2023-09-03","22","After Hours","2","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","interesses-validados",true,true,false,true,false,"Concluído","2023-08-24 16:23:29.846","2023-08-24 16:23:29.846","2023-08-29 12:05:34.882",
"9374","2023-08-09 01:20:52.454","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-09","2023-08-16","1","After Hours","3","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9375","2023-08-09 07:30:48.989","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-09","2023-08-16","7","After Hours","3","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","lal-all-1",true,false,false,false,false,,,,,
"9376","2023-08-09 07:48:11.951","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-09","2023-08-16","7","After Hours","3","Weekday",true,"Organic - search","Organic",,"None",,false,false,true,false,false,"Incompleta",,,,
"9377","2023-08-09 07:53:50.209","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"41","2023-08-09","2023-09-19","7","After Hours","3","Weekday",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL","interesses-validados",true,false,true,false,false,"Incompleta",,,,
